method,combo,anchor,alpha,beta,gamma,d_src_mat,d_tgt_mat,inter_mat,path,d_int,inter_int
A,rolling_drop,fs365161,0.9,0.6,1.0,58.50007247924805,49.12552261352539,0.5435516749364064,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.9_b0.6_g1.0_anchor0.wav,44.17048645019531,
A,rolling_drop,fs365161,0.9,0.9,0.0,33.58837127685547,25.22793197631836,0.5710724649202075,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.9_b0.9_g0.0_anchor0.wav,20.595436096191406,
A,rolling_drop,fs365161,0.9,0.9,0.5,46.059261322021484,36.922943115234375,0.5550498644115024,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.9_b0.9_g0.5_anchor0.wav,31.97859764099121,
A,rolling_drop,fs365161,0.9,0.9,1.0,58.50007247924805,49.12552261352539,0.5435516749364064,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.9_b0.9_g1.0_anchor0.wav,44.17048645019531,
baseline_sum,rolling_drop,fs460174,,,,112.78759765625,109.39036560058594,0.5076452948007305,/home/atorsaev/projects/tecniacustica-prospect/outputs/baseline_sum/full/rolling_drop_anchor1.wav,104.52684783935547,
baseline_interp,rolling_drop,fs460174,,,,19.101919174194336,11.896728515625,0.6162178222971845,/home/atorsaev/projects/tecniacustica-prospect/outputs/baseline_interp/full/rolling_drop_anchor1.wav,7.930076599121094,
A,rolling_drop,fs460174,0.3,0.3,0.0,29.806386947631836,22.016942977905273,0.575153834959743,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.3_b0.3_g0.0_anchor1.wav,14.154807090759277,
A,rolling_drop,fs460174,0.3,0.3,0.5,40.73733139038086,31.70355796813965,0.5623527230346872,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.3_b0.3_g0.5_anchor1.wav,24.86571502685547,
A,rolling_drop,fs460174,0.3,0.3,1.0,53.44084548950195,43.911380767822266,0.5489432295846693,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.3_b0.3_g1.0_anchor1.wav,37.676856994628906,
A,rolling_drop,fs460174,0.3,0.6,0.0,29.806386947631836,22.016942977905273,0.575153834959743,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.3_b0.6_g0.0_anchor1.wav,14.154807090759277,
A,rolling_drop,fs460174,0.3,0.6,0.5,40.73733139038086,31.70355796813965,0.5623527230346872,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.3_b0.6_g0.5_anchor1.wav,24.86571502685547,
A,rolling_drop,fs460174,0.3,0.6,1.0,53.44084548950195,43.911380767822266,0.5489432295846693,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.3_b0.6_g1.0_anchor1.wav,37.676856994628906,
A,rolling_drop,fs460174,0.3,0.9,0.0,29.806386947631836,22.016942977905273,0.575153834959743,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.3_b0.9_g0.0_anchor1.wav,14.154807090759277,
A,rolling_drop,fs460174,0.3,0.9,0.5,40.73733139038086,31.70355796813965,0.5623527230346872,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.3_b0.9_g0.5_anchor1.wav,24.86571502685547,
A,rolling_drop,fs460174,0.3,0.9,1.0,53.44084548950195,43.911380767822266,0.5489432295846693,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.3_b0.9_g1.0_anchor1.wav,37.676856994628906,
A,rolling_drop,fs460174,0.6,0.3,0.0,31.8408260345459,23.58480453491211,0.5744783723131359,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.6_b0.3_g0.0_anchor1.wav,15.966825485229492,
A,rolling_drop,fs460174,0.6,0.3,0.5,43.51905822753906,34.296546936035156,0.559258751962405,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.6_b0.3_g0.5_anchor1.wav,27.657716751098633,
A,rolling_drop,fs460174,0.6,0.3,1.0,56.17975997924805,46.535667419433594,0.5469456867530123,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.6_b0.3_g1.0_anchor1.wav,40.40702438354492,
A,rolling_drop,fs460174,0.6,0.6,0.0,31.8408260345459,23.58480453491211,0.5744783723131359,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.6_b0.6_g0.0_anchor1.wav,15.966825485229492,
A,rolling_drop,fs460174,0.6,0.6,0.5,43.51905822753906,34.296546936035156,0.559258751962405,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.6_b0.6_g0.5_anchor1.wav,27.657716751098633,
A,rolling_drop,fs460174,0.6,0.6,1.0,56.17975997924805,46.535667419433594,0.5469456867530123,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.6_b0.6_g1.0_anchor1.wav,40.40702438354492,
A,rolling_drop,fs460174,0.6,0.9,0.0,31.8408260345459,23.58480453491211,0.5744783723131359,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.6_b0.9_g0.0_anchor1.wav,15.966825485229492,
A,rolling_drop,fs460174,0.6,0.9,0.5,43.51905822753906,34.296546936035156,0.559258751962405,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.6_b0.9_g0.5_anchor1.wav,27.657716751098633,
A,rolling_drop,fs460174,0.6,0.9,1.0,56.17975997924805,46.535667419433594,0.5469456867530123,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.6_b0.9_g1.0_anchor1.wav,40.40702438354492,
