pareja,env_parent,fine_parent,align,n_bands,banda_idx,centro_hz,edge_lo_hz,edge_hi_hz,rms_db_abs,rms_db_rel_pico,es_huerfana,n_huerfanas_bandpass_grupo,n_huerfanas_ref_envolvente_grupo,coincide_con_referencia_grupo
trueno_hecho_de_agua,trueno,goteo,False,16,12,3152.81,2721.91,3651.93,-110.2872,-75.0673,True,9,9,True
trueno_hecho_de_agua,trueno,goteo,False,16,13,4230.06,3651.93,4899.72,-121.6521,-86.4323,True,9,9,True
trueno_hecho_de_agua,trueno,goteo,False,16,14,5675.39,4899.72,6573.85,-126.3832,-91.1634,True,9,9,True
trueno_hecho_de_agua,trueno,goteo,False,16,15,7614.55,6573.85,8820.0,-134.4665,-99.2466,True,9,9,True
trueno_hecho_de_agua,trueno,goteo,False,24,0,88.23,80.0,97.32,-41.3039,-4.6896,False,14,14,True
trueno_hecho_de_agua,trueno,goteo,False,24,1,107.33,97.32,118.38,-39.7537,-3.1394,False,14,14,True
trueno_hecho_de_agua,trueno,goteo,False,24,2,130.57,118.38,144.01,-41.137,-4.5227,False,14,14,True
trueno_hecho_de_agua,trueno,goteo,False,24,3,158.83,144.01,175.18,-38.485,-1.8707,False,14,14,True
trueno_hecho_de_agua,trueno,goteo,False,24,4,193.21,175.18,213.1,-38.1,-1.4857,False,14,14,True
trueno_hecho_de_agua,trueno,goteo,False,24,5,235.04,213.1,259.23,-37.3901,-0.7758,False,14,14,True
trueno_hecho_de_agua,trueno,goteo,False,24,6,285.91,259.23,315.34,-36.6143,0.0,False,14,14,True
trueno_hecho_de_agua,trueno,goteo,False,24,7,347.8,315.34,383.6,-37.9944,-1.3801,False,14,14,True
trueno_hecho_de_agua,trueno,goteo,False,24,8,423.09,383.6,466.64,-43.3633,-6.749,False,14,14,True
trueno_hecho_de_agua,trueno,goteo,False,24,9,514.67,466.64,567.65,-53.4934,-16.8791,False,14,14,True
trueno_hecho_de_agua,trueno,goteo,False,24,10,626.08,567.65,690.53,-65.9072,-29.2929,True,14,14,True
trueno_hecho_de_agua,trueno,goteo,False,24,11,761.6,690.53,840.0,-79.6981,-43.0838,True,14,14,True
trueno_hecho_de_agua,trueno,goteo,False,24,12,926.46,840.0,1021.83,-86.7813,-50.1669,True,14,14,True
trueno_hecho_de_agua,trueno,goteo,False,24,13,1127.01,1021.83,1243.02,-90.225,-53.6107,True,14,14,True
trueno_hecho_de_agua,trueno,goteo,False,24,14,1370.97,1243.02,1512.09,-93.5962,-56.9818,True,14,14,True
trueno_hecho_de_agua,trueno,goteo,False,24,15,1667.73,1512.09,1839.4,-98.941,-62.3267,True,14,14,True
trueno_hecho_de_agua,trueno,goteo,False,24,16,2028.73,1839.4,2237.56,-104.9836,-68.3693,True,14,14,True
trueno_hecho_de_agua,trueno,goteo,False,24,17,2467.88,2237.56,2721.91,-105.5504,-68.9361,True,14,14,True
trueno_hecho_de_agua,trueno,goteo,False,24,18,3002.09,2721.91,3311.11,-107.8731,-71.2588,True,14,14,True
trueno_hecho_de_agua,trueno,goteo,False,24,19,3651.93,3311.11,4027.84,-115.5164,-78.9021,True,14,14,True
trueno_hecho_de_agua,trueno,goteo,False,24,20,4442.44,4027.84,4899.72,-117.3719,-80.7575,True,14,14,True
trueno_hecho_de_agua,trueno,goteo,False,24,21,5404.07,4899.72,5960.33,-124.4799,-87.8656,True,14,14,True
trueno_hecho_de_agua,trueno,goteo,False,24,22,6573.85,5960.33,7250.53,-127.2417,-90.6273,True,14,14,True
trueno_hecho_de_agua,trueno,goteo,False,24,23,7996.85,7250.53,8820.0,-132.2996,-95.6853,True,14,14,True
trueno_hecho_de_agua,trueno,goteo,False,32,0,86.1,80.0,92.66,-42.358,-4.4035,False,18,18,True
trueno_hecho_de_agua,trueno,goteo,False,32,1,99.73,92.66,107.33,-42.0474,-4.0929,False,18,18,True
trueno_hecho_de_agua,trueno,goteo,False,32,2,115.52,107.33,124.33,-40.9674,-3.0129,False,18,18,True
trueno_hecho_de_agua,trueno,goteo,False,32,3,133.81,124.33,144.01,-42.4107,-4.4562,False,18,18,True
trueno_hecho_de_agua,trueno,goteo,False,32,4,154.99,144.01,166.81,-39.9403,-1.9858,False,18,18,True
trueno_hecho_de_agua,trueno,goteo,False,32,5,179.52,166.81,193.21,-39.3679,-1.4134,False,18,18,True
trueno_hecho_de_agua,trueno,goteo,False,32,6,207.94,193.21,223.8,-39.342,-1.3875,False,18,18,True
trueno_hecho_de_agua,trueno,goteo,False,32,7,240.86,223.8,259.23,-38.5405,-0.586,False,18,18,True
trueno_hecho_de_agua,trueno,goteo,False,32,8,279.0,259.23,300.27,-37.9545,0.0,False,18,18,True
trueno_hecho_de_agua,trueno,goteo,False,32,9,323.16,300.27,347.8,-38.7222,-0.7677,False,18,18,True
trueno_hecho_de_agua,trueno,goteo,False,32,10,374.32,347.8,402.86,-40.2469,-2.2924,False,18,18,True
trueno_hecho_de_agua,trueno,goteo,False,32,11,433.58,402.86,466.64,-45.7844,-7.8299,False,18,18,True
trueno_hecho_de_agua,trueno,goteo,False,32,12,502.22,466.64,540.51,-53.7439,-15.7894,False,18,18,True
trueno_hecho_de_agua,trueno,goteo,False,32,13,581.73,540.51,626.08,-62.6787,-24.7242,False,18,18,True
trueno_hecho_de_agua,trueno,goteo,False,32,14,673.82,626.08,725.2,-73.0991,-35.1446,True,18,18,True
trueno_hecho_de_agua,trueno,goteo,False,32,15,780.49,725.2,840.0,-82.1552,-44.2007,True,18,18,True
trueno_hecho_de_agua,trueno,goteo,False,32,16,904.05,840.0,972.98,-87.2604,-49.3059,True,18,18,True
trueno_hecho_de_agua,trueno,goteo,False,32,17,1047.17,972.98,1127.01,-90.1355,-52.181,True,18,18,True
trueno_hecho_de_agua,trueno,goteo,False,32,18,1212.94,1127.01,1305.43,-92.2895,-54.3349,True,18,18,True
trueno_hecho_de_agua,trueno,goteo,False,32,19,1404.96,1305.43,1512.09,-95.0383,-57.0838,True,18,18,True
trueno_hecho_de_agua,trueno,goteo,False,32,20,1627.38,1512.09,1751.46,-98.8746,-60.9201,True,18,18,True
trueno_hecho_de_agua,trueno,goteo,False,32,21,1885.01,1751.46,2028.73,-103.6013,-65.6468,True,18,18,True
trueno_hecho_de_agua,trueno,goteo,False,32,22,2183.42,2028.73,2349.9,-105.4337,-67.4791,True,18,18,True
trueno_hecho_de_agua,trueno,goteo,False,32,23,2529.08,2349.9,2721.91,-105.7285,-67.7739,True,18,18,True
trueno_hecho_de_agua,trueno,goteo,False,32,24,2929.45,2721.91,3152.81,-107.3251,-69.3706,True,18,18,True
trueno_hecho_de_agua,trueno,goteo,False,32,25,3393.21,3152.81,3651.93,-111.8983,-73.9438,True,18,18,True
trueno_hecho_de_agua,trueno,goteo,False,32,26,3930.38,3651.93,4230.06,-114.6181,-76.6635,True,18,18,True
trueno_hecho_de_agua,trueno,goteo,False,32,27,4552.6,4230.06,4899.72,-116.0423,-78.0877,True,18,18,True
trueno_hecho_de_agua,trueno,goteo,False,32,28,5273.31,4899.72,5675.39,-121.7507,-83.7961,True,18,18,True
trueno_hecho_de_agua,trueno,goteo,False,32,29,6108.12,5675.39,6573.85,-123.318,-85.3635,True,18,18,True
trueno_hecho_de_agua,trueno,goteo,False,32,30,7075.09,6573.85,7614.55,-128.6012,-90.6467,True,18,18,True
trueno_hecho_de_agua,trueno,goteo,False,32,31,8195.14,7614.55,8820.0,-131.0237,-93.0692,True,18,18,True
trueno_hecho_de_agua,trueno,goteo,True,2,0,259.23,80.0,840.0,-29.0514,0.0,False,1,1,True
trueno_hecho_de_agua,trueno,goteo,True,2,1,2721.91,840.0,8820.0,-84.8233,-55.7719,True,1,1,True
trueno_hecho_de_agua,trueno,goteo,True,4,0,144.01,80.0,259.23,-31.3467,0.0,False,2,2,True
trueno_hecho_de_agua,trueno,goteo,True,4,1,466.64,259.23,840.0,-33.986,-2.6393,False,2,2,True
trueno_hecho_de_agua,trueno,goteo,True,4,2,1512.09,840.0,2721.91,-87.6381,-56.2914,True,2,2,True
