pareja,env_parent,fine_parent,n_bands,method,color_mix,region,region_lo_hz,region_hi_hz,corr_con_a,corr_con_b
canica_hecha_de_fuego,canica,fuego,16,chimera,0.75,agudos,1500.0,20000.0,0.590024,0.032237
canica_hecha_de_fuego,canica,fuego,16,chimera,1.0,graves,40.0,500.0,0.804721,0.038558
canica_hecha_de_fuego,canica,fuego,16,chimera,1.0,medios,500.0,1500.0,0.896099,0.0074
canica_hecha_de_fuego,canica,fuego,16,chimera,1.0,agudos,1500.0,20000.0,0.548265,0.039537
trueno_hecho_de_canica,trueno,canica,6,chimera_plana,,graves,40.0,500.0,0.953072,0.096816
trueno_hecho_de_canica,trueno,canica,6,chimera_plana,,medios,500.0,1500.0,0.839351,0.153154
trueno_hecho_de_canica,trueno,canica,6,chimera_plana,,agudos,1500.0,20000.0,0.198216,0.078391
trueno_hecho_de_canica,trueno,canica,6,chimera,0.0,graves,40.0,500.0,0.953075,0.096675
trueno_hecho_de_canica,trueno,canica,6,chimera,0.0,medios,500.0,1500.0,0.839483,0.15321
trueno_hecho_de_canica,trueno,canica,6,chimera,0.0,agudos,1500.0,20000.0,0.193557,0.079027
trueno_hecho_de_canica,trueno,canica,6,chimera,0.25,graves,40.0,500.0,0.952486,0.094129
trueno_hecho_de_canica,trueno,canica,6,chimera,0.25,medios,500.0,1500.0,0.844282,0.151541
trueno_hecho_de_canica,trueno,canica,6,chimera,0.25,agudos,1500.0,20000.0,0.234401,0.079581
trueno_hecho_de_canica,trueno,canica,6,chimera,0.5,graves,40.0,500.0,0.949751,0.092052
trueno_hecho_de_canica,trueno,canica,6,chimera,0.5,medios,500.0,1500.0,0.838766,0.14933
trueno_hecho_de_canica,trueno,canica,6,chimera,0.5,agudos,1500.0,20000.0,0.388391,0.094804
trueno_hecho_de_canica,trueno,canica,6,chimera,0.75,graves,40.0,500.0,0.921141,0.089533
trueno_hecho_de_canica,trueno,canica,6,chimera,0.75,medios,500.0,1500.0,0.837807,0.14642
trueno_hecho_de_canica,trueno,canica,6,chimera,0.75,agudos,1500.0,20000.0,0.646839,0.108839
trueno_hecho_de_canica,trueno,canica,6,chimera,1.0,graves,40.0,500.0,0.43255,0.056625
trueno_hecho_de_canica,trueno,canica,6,chimera,1.0,medios,500.0,1500.0,0.837846,0.147222
trueno_hecho_de_canica,trueno,canica,6,chimera,1.0,agudos,1500.0,20000.0,0.649197,0.102587
oceano_hecho_de_campana,oceano,campana_tela,16,chimera_plana,,graves,40.0,500.0,0.813778,0.017143
oceano_hecho_de_campana,oceano,campana_tela,16,chimera_plana,,medios,500.0,1500.0,0.87699,-0.070764
oceano_hecho_de_campana,oceano,campana_tela,16,chimera_plana,,agudos,1500.0,20000.0,0.980031,-0.066135
oceano_hecho_de_campana,oceano,campana_tela,16,chimera,0.0,graves,40.0,500.0,0.833167,0.005783
oceano_hecho_de_campana,oceano,campana_tela,16,chimera,0.0,medios,500.0,1500.0,0.870287,-0.071589
oceano_hecho_de_campana,oceano,campana_tela,16,chimera,0.0,agudos,1500.0,20000.0,0.984558,-0.067165
oceano_hecho_de_campana,oceano,campana_tela,16,chimera,0.25,graves,40.0,500.0,0.832287,-0.001735
oceano_hecho_de_campana,oceano,campana_tela,16,chimera,0.25,medios,500.0,1500.0,0.897641,-0.062997
oceano_hecho_de_campana,oceano,campana_tela,16,chimera,0.25,agudos,1500.0,20000.0,0.986608,-0.06878
oceano_hecho_de_campana,oceano,campana_tela,16,chimera,0.5,graves,40.0,500.0,0.833551,-0.009691
oceano_hecho_de_campana,oceano,campana_tela,16,chimera,0.5,medios,500.0,1500.0,0.9193,-0.054541
oceano_hecho_de_campana,oceano,campana_tela,16,chimera,0.5,agudos,1500.0,20000.0,0.986369,-0.070744
oceano_hecho_de_campana,oceano,campana_tela,16,chimera,0.75,graves,40.0,500.0,0.813426,-0.018804
oceano_hecho_de_campana,oceano,campana_tela,16,chimera,0.75,medios,500.0,1500.0,0.929615,-0.047802
oceano_hecho_de_campana,oceano,campana_tela,16,chimera,0.75,agudos,1500.0,20000.0,0.982039,-0.07209
