epoch,loss_total,loss_material,loss_interaction,loss_modifiers,f1_material,f1_interaction,r2_modifiers
0,6.108299136161804,2.439544459184011,2.5430725117524466,2.251364250977834,0.0831279190451479,0.08538587848932677,-0.07563529908657074
1,4.97114356358846,2.1462080478668213,2.057334134976069,1.5352028409639995,0.18107859531772574,0.17874313186813187,-0.0016118526691570878
2,4.510495622952779,1.9539315700531006,1.8521455625693004,1.408836990594864,0.06874999999999999,0.14176328502415458,-0.001999116037040949
3,4.436601877212524,1.957434594631195,1.769259641567866,1.419815182685852,0.08757715057220009,0.10693149210903874,0.01041039265692234
4,4.403893788655599,1.927822430928548,1.7775118450323741,1.3971190353234608,0.11625874125874125,0.24648891978573134,0.05058019235730171
5,4.271220048268636,1.8315734267234802,1.781104177236557,1.3170848488807678,0.20505430242272346,0.15783542594349953,0.06281077861785889
6,4.205606639385223,1.8424805402755737,1.708402693271637,1.3094467620054882,0.1463917525773196,0.16185636856368563,0.08164425194263458
7,4.162917653719584,1.8135766685009003,1.7069046795368195,1.2848726312319438,0.18863424587108796,0.26537174066243835,0.05302852392196655
8,4.117661197980245,1.7888025442759197,1.6951453785101573,1.2674267242352169,0.14287746532566406,0.19268609742747672,0.08044236898422241
9,4.119957109292348,1.786978046099345,1.6905446251233418,1.2848689357439678,0.24207938324071046,0.1520923520923521,0.059457551687955856
10,4.138141373793284,1.7789980471134186,1.7126390039920807,1.293008714914322,0.229607806283064,0.16648170567662093,0.07348547875881195
11,4.089063207308452,1.7954583764076233,1.6515372395515442,1.2841351826985676,0.1408965704531347,0.20917634996582363,0.056684039533138275
12,4.094359616438548,1.8125583628813426,1.647932489713033,1.2677373985449474,0.11646346572817161,0.26838883701628796,0.07281315326690674
13,4.044121563434601,1.7515941361586254,1.6524389187494914,1.2801770369211833,0.21257548309178742,0.20827093139352446,0.09111161530017853
14,4.040687421957652,1.7703390717506409,1.653049498796463,1.2345977077881496,0.22345641702030566,0.24994089834515365,0.10749490559101105
15,4.04035751024882,1.7522557377815247,1.6668948133786519,1.2424139181772869,0.17687908496732027,0.2810367595000167,0.08875255286693573
16,4.016424894332886,1.750512311855952,1.6547822256882985,1.2222606440385182,0.2088999713999714,0.22525213005266748,0.1060333400964737
17,4.054350852966309,1.7674268086751301,1.6588875949382782,1.2560729285081227,0.12873836403248168,0.16842998877930665,0.11877809464931488
