method,run,name,verdict,reasons,rms_db,peak_db,crest_db,flatness,centroid_hz,dynamic_range_db,path
method_b,b_full,liquid_rock_impact_iters50_prior0.05_anchor1.wav,good,,-39.09,-1.51,37.58,0.279,2956.0,56.43,outputs/method_b/b_full/liquid_rock_impact_iters50_prior0.05_anchor1.wav
method_b,b_full,liquid_rock_impact_iters50_prior0.2_anchor0.wav,good,,-35.04,-0.0,35.04,0.279,2918.0,60.67,outputs/method_b/b_full/liquid_rock_impact_iters50_prior0.2_anchor0.wav
method_b,b_full,liquid_rock_impact_iters50_prior0.2_anchor1.wav,good,,-39.09,-1.51,37.58,0.279,2955.0,56.43,outputs/method_b/b_full/liquid_rock_impact_iters50_prior0.2_anchor1.wav
method_b,b_full,rolling_drop_iters150_prior0.05_anchor0.wav,good,,-30.9,-0.92,29.98,0.076,2745.0,44.77,outputs/method_b/b_full/rolling_drop_iters150_prior0.05_anchor0.wav
method_b,b_full,rolling_drop_iters150_prior0.05_anchor1.wav,good,,-29.53,-0.68,28.85,0.086,2398.0,53.26,outputs/method_b/b_full/rolling_drop_iters150_prior0.05_anchor1.wav
method_b,b_full,rolling_drop_iters150_prior0.2_anchor0.wav,good,,-30.94,-0.19,30.76,0.078,2757.0,45.1,outputs/method_b/b_full/rolling_drop_iters150_prior0.2_anchor0.wav
method_b,b_full,rolling_drop_iters150_prior0.2_anchor1.wav,good,,-29.51,-0.68,28.83,0.087,2402.0,53.77,outputs/method_b/b_full/rolling_drop_iters150_prior0.2_anchor1.wav
method_b,b_full,rolling_drop_iters50_prior0.05_anchor0.wav,good,,-31.74,-0.75,30.99,0.084,2504.0,47.92,outputs/method_b/b_full/rolling_drop_iters50_prior0.05_anchor0.wav
method_b,b_full,rolling_drop_iters50_prior0.05_anchor1.wav,good,,-29.21,-0.84,28.37,0.101,2130.0,55.78,outputs/method_b/b_full/rolling_drop_iters50_prior0.05_anchor1.wav
method_b,b_full,rolling_drop_iters50_prior0.2_anchor0.wav,good,,-31.74,-0.75,30.99,0.084,2505.0,47.94,outputs/method_b/b_full/rolling_drop_iters50_prior0.2_anchor0.wav
method_b,b_full,rolling_drop_iters50_prior0.2_anchor1.wav,good,,-29.2,-0.84,28.36,0.101,2128.0,55.78,outputs/method_b/b_full/rolling_drop_iters50_prior0.2_anchor1.wav
method_b,b_full,wet_gravel_scrape_iters150_prior0.05_anchor0.wav,good,,-32.43,-4.27,28.17,0.403,4313.0,71.71,outputs/method_b/b_full/wet_gravel_scrape_iters150_prior0.05_anchor0.wav
method_b,b_full,wet_gravel_scrape_iters150_prior0.05_anchor1.wav,good,,-28.92,-1.01,27.91,0.387,4080.0,74.45,outputs/method_b/b_full/wet_gravel_scrape_iters150_prior0.05_anchor1.wav
method_b,b_full,wet_gravel_scrape_iters150_prior0.2_anchor0.wav,good,,-32.46,-4.28,28.18,0.398,4274.0,71.37,outputs/method_b/b_full/wet_gravel_scrape_iters150_prior0.2_anchor0.wav
method_b,b_full,wet_gravel_scrape_iters150_prior0.2_anchor1.wav,good,,-28.94,-1.03,27.91,0.392,4129.0,74.28,outputs/method_b/b_full/wet_gravel_scrape_iters150_prior0.2_anchor1.wav
method_b,b_full,wet_gravel_scrape_iters50_prior0.05_anchor0.wav,good,,-32.84,-4.07,28.77,0.267,2944.0,60.49,outputs/method_b/b_full/wet_gravel_scrape_iters50_prior0.05_anchor0.wav
method_b,b_full,wet_gravel_scrape_iters50_prior0.05_anchor1.wav,good,,-29.25,-2.44,26.82,0.143,1605.0,62.71,outputs/method_b/b_full/wet_gravel_scrape_iters50_prior0.05_anchor1.wav
method_b,b_full,wet_gravel_scrape_iters50_prior0.2_anchor0.wav,good,,-32.84,-4.07,28.77,0.267,2945.0,60.49,outputs/method_b/b_full/wet_gravel_scrape_iters50_prior0.2_anchor0.wav
method_b,b_full,wet_gravel_scrape_iters50_prior0.2_anchor1.wav,good,,-29.26,-2.44,26.82,0.143,1605.0,62.69,outputs/method_b/b_full/wet_gravel_scrape_iters50_prior0.2_anchor1.wav
method_d,d_full,liquid_rock_impact_a0.6_b0.6_g1.0_anc0_DSP.wav,good,,-36.42,-4.28,32.14,0.08,1864.0,48.87,outputs/method_d/d_full/liquid_rock_impact_a0.6_b0.6_g1.0_anc0_DSP.wav
method_d,d_full,liquid_rock_impact_a0.6_b0.9_g1.0_anc0_DSP.wav,good,,-36.42,-4.28,32.14,0.08,1864.0,48.87,outputs/method_d/d_full/liquid_rock_impact_a0.6_b0.9_g1.0_anc0_DSP.wav
method_d,d_full,liquid_rock_impact_a0.9_b0.3_g0.0_anc1_DSP.wav,good,,-36.37,-3.92,32.44,0.105,1865.0,51.8,outputs/method_d/d_full/liquid_rock_impact_a0.9_b0.3_g0.0_anc1_DSP.wav
method_d,d_full,liquid_rock_impact_a0.9_b0.6_g0.0_anc1_DSP.wav,good,,-36.37,-3.92,32.44,0.105,1865.0,51.8,outputs/method_d/d_full/liquid_rock_impact_a0.9_b0.6_g0.0_anc1_DSP.wav
method_d,d_full,liquid_rock_impact_a0.9_b0.9_g0.0_anc1_DSP.wav,good,,-36.37,-3.92,32.44,0.105,1865.0,51.8,outputs/method_d/d_full/liquid_rock_impact_a0.9_b0.9_g0.0_anc1_DSP.wav
method_d,d_full,rolling_drop_a0.3_b0.3_g0.0_anc0_DSP.wav,good,,-32.63,-4.94,27.69,0.033,1403.0,46.24,outputs/method_d/d_full/rolling_drop_a0.3_b0.3_g0.0_anc0_DSP.wav
method_d,d_full,rolling_drop_a0.3_b0.6_g0.0_anc0_DSP.wav,good,,-32.63,-4.94,27.69,0.033,1403.0,46.24,outputs/method_d/d_full/rolling_drop_a0.3_b0.6_g0.0_anc0_DSP.wav
method_d,d_full,rolling_drop_a0.3_b0.9_g0.0_anc0_DSP.wav,good,,-32.63,-4.94,27.69,0.033,1403.0,46.24,outputs/method_d/d_full/rolling_drop_a0.3_b0.9_g0.0_anc0_DSP.wav
method_d,d_full,rolling_drop_a0.6_b0.3_g0.0_anc0_DSP.wav,good,,-31.81,-4.4,27.41,0.028,1429.0,44.32,outputs/method_d/d_full/rolling_drop_a0.6_b0.3_g0.0_anc0_DSP.wav
method_d,d_full,rolling_drop_a0.6_b0.6_g0.0_anc0_DSP.wav,good,,-31.81,-4.4,27.41,0.028,1429.0,44.32,outputs/method_d/d_full/rolling_drop_a0.6_b0.6_g0.0_anc0_DSP.wav
method_d,d_full,wet_gravel_scrape_a0.6_b0.3_g0.0_anc0_DSP.wav,good,,-30.45,-8.36,22.1,0.039,2022.0,50.44,outputs/method_d/d_full/wet_gravel_scrape_a0.6_b0.3_g0.0_anc0_DSP.wav
method_d,d_full,wet_gravel_scrape_a0.6_b0.6_g0.0_anc0_DSP.wav,good,,-30.45,-8.36,22.1,0.039,2022.0,50.44,outputs/method_d/d_full/wet_gravel_scrape_a0.6_b0.6_g0.0_anc0_DSP.wav
method_d,d_full,wet_gravel_scrape_a0.6_b0.6_g0.0_anc1_DSP.wav,good,,-28.68,-4.17,24.51,0.035,2031.0,54.2,outputs/method_d/d_full/wet_gravel_scrape_a0.6_b0.6_g0.0_anc1_DSP.wav
method_d,d_full,wet_gravel_scrape_a0.6_b0.9_g0.0_anc0_DSP.wav,good,,-30.45,-8.36,22.1,0.039,2022.0,50.44,outputs/method_d/d_full/wet_gravel_scrape_a0.6_b0.9_g0.0_anc0_DSP.wav
method_d,d_full,wet_gravel_scrape_a0.6_b0.9_g0.0_anc1_DSP.wav,good,,-28.68,-4.17,24.51,0.035,2031.0,54.2,outputs/method_d/d_full/wet_gravel_scrape_a0.6_b0.9_g0.0_anc1_DSP.wav
